date,0,1,2,3,4,5,6,7,8
7,0,0,0,0,0,0,2.0,1.0,0
8,0,0,0,0,0,0,2.0,1.0,0
9,0,0,0,0,0,0,2.0,1.0,0
10,0,0,0,0,0,0,2.0,1.0,0
11,0,0,0,0,0,0,2.0,1.0,0
12,0,0,0,0,0,0,2.0,1.0,0
13,0,0,0,0,2.0,0,2.0,1.0,0
14,0,0,0,0,3.0,2.0,4.0,1.0,0
15,0,0,0,0,3.0,2.0,4.0,1.0,0
16,0,2.0,0,1.0,3.0,2.0,4.0,1.0,0
17,0,2.0,0,1.0,3.0,5.0,4.0,2.0,0
18,0,2.0,0,1.0,3.0,5.0,4.0,2.0,0
19,0,4.0,0,3.0,4.0,5.0,4.0,2.0,0
20,0,4.0,0,3.0,4.0,5.0,4.0,3.0,1.0
21,0,4.0,0,6.0,6.0,5.0,4.0,3.0,1.0
22,0,4.0,0,7.0,6.0,7.0,4.0,3.0,2.0
23,0,4.0,0,7.0,7.0,11.0,6.0,6.0,2.0
24,0,4.0,0,10.0,15.0,11.0,13.0,10.0,2.0
25,1.0,6.0,2.0,15.0,21.0,13.0,17.0,10.0,3.0
26,1.0,6.0,3.0,26.0,28.0,19.0,20.0,12.0,4.0
27,1.0,7.0,5.0,31.0,28.0,19.0,28.0,24.0,4.0
28,1.0,7.0,6.0,43.0,33.0,22.0,30.0,27.0,5.0
29,1.0,13.0,13.0,54.0,42.0,30.0,35.0,29.0,6.0
30,1.0,16.0,22.0,67.0,50.0,36.0,41.0,29.0,9.0
31,1.0,20.0,27.0,74.0,55.0,40.0,49.0,30.0,10.0
32,1.0,25.0,35.0,89.0,58.0,45.0,57.0,39.0,13.0
33,2.0,25.0,48.0,100.0,64.0,53.0,71.0,44.0,17.0
34,2.0,27.0,53.0,105.0,69.0,63.0,74.0,48.0,18.0
35,2.0,27.0,59.0,108.0,69.0,74.0,81.0,54.0,20.0
36,2.0,27.0,62.0,114.0,72.0,82.0,89.0,61.0,28.0
37,3.0,27.0,68.0,122.0,81.0,92.0,96.0,69.0,37.0
38,3.0,27.0,74.0,126.0,87.0,100.0,110.0,84.0,44.0
39,7.0,34.0,78.0,132.0,100.0,117.0,131.0,95.0,47.0
40,11.0,35.0,88.0,143.0,115.0,136.0,153.0,108.0,53.0
41,12.0,37.0,100.0,149.0,129.0,150.0,170.0,120.0,61.0
42,19.0,39.0,111.0,161.0,141.0,173.0,191.0,139.0,81.0
43,20.0,41.0,115.0,167.0,145.0,183.0,200.0,155.0,88.0
44,22.0,42.0,120.0,177.0,152.0,196.0,222.0,172.0,93.0
45,25.0,46.0,130.0,188.0,169.0,213.0,254.0,210.0,113.0
46,28.0,48.0,140.0,195.0,191.0,242.0,275.0,228.0,128.0
47,29.0,49.0,157.0,202.0,208.0,257.0,309.0,274.0,166.0
48,33.0,50.0,172.0,206.0,235.0,273.0,332.0,287.0,196.0
49,33.0,52.0,187.0,214.0,248.0,288.0,355.0,301.0,215.0
50,34.0,56.0,198.0,220.0,252.0,301.0,376.0,312.0,231.0
51,35.0,57.0,209.0,230.0,270.0,319.0,392.0,337.0,249.0
52,36.0,57.0,222.0,238.0,280.0,329.0,415.0,356.0,277.0
53,36.0,57.0,230.0,244.0,290.0,343.0,432.0,370.0,289.0
54,36.0,59.0,239.0,249.0,299.0,356.0,439.0,385.0,297.0
55,39.0,61.0,252.0,253.0,302.0,364.0,449.0,391.0,320.0
56,39.0,65.0,260.0,258.0,306.0,372.0,460.0,402.0,331.0
57,39.0,66.0,264.0,265.0,312.0,376.0,467.0,406.0,347.0
58,40.0,68.0,277.0,271.0,326.0,380.0,493.0,421.0,375.0
59,41.0,71.0,286.0,276.0,339.0,392.0,508.0,450.0,400.0
60,44.0,71.0,296.0,280.0,349.0,403.0,523.0,466.0,422.0
61,45.0,73.0,304.0,291.0,355.0,412.0,535.0,476.0,440.0
62,46.0,75.0,315.0,302.0,360.0,419.0,539.0,484.0,451.0
63,49.0,75.0,329.0,308.0,366.0,428.0,552.0,491.0,457.0
64,52.0,76.0,335.0,313.0,371.0,442.0,559.0,496.0,460.0
65,52.0,76.0,342.0,320.0,378.0,449.0,568.0,502.0,468.0
66,53.0,77.0,347.0,330.0,386.0,458.0,576.0,513.0,475.0
67,54.0,79.0,352.0,330.0,394.0,465.0,578.0,514.0,481.0
68,58.0,79.0,355.0,337.0,398.0,474.0,588.0,518.0,485.0
69,60.0,80.0,364.0,340.0,404.0,477.0,590.0,522.0,496.0
70,61.0,81.0,369.0,343.0,406.0,481.0,595.0,529.0,498.0
71,61.0,81.0,372.0,343.0,407.0,481.0,596.0,533.0,498.0
72,61.0,86.0,374.0,351.0,409.0,487.0,605.0,537.0,503.0
73,61.0,87.0,377.0,354.0,411.0,488.0,608.0,543.0,508.0
74,62.0,88.0,385.0,354.0,414.0,493.0,611.0,547.0,518.0
75,62.0,88.0,388.0,359.0,419.0,498.0,612.0,549.0,522.0
76,62.0,88.0,395.0,359.0,420.0,502.0,614.0,549.0,529.0
77,63.0,90.0,400.0,361.0,425.0,504.0,615.0,550.0,531.0
78,63.0,90.0,404.0,362.0,428.0,504.0,616.0,550.0,535.0
79,64.0,90.0,406.0,364.0,429.0,507.0,617.0,552.0,538.0
80,64.0,90.0,412.0,370.0,432.0,510.0,618.0,553.0,541.0
81,64.0,91.0,413.0,370.0,433.0,512.0,620.0,554.0,542.0
82,64.0,92.0,416.0,375.0,433.0,516.0,622.0,556.0,542.0
83,64.0,92.0,417.0,376.0,436.0,520.0,622.0,557.0,546.0
84,64.0,92.0,421.0,377.0,437.0,521.0,623.0,560.0,548.0
85,64.0,92.0,424.0,378.0,437.0,524.0,623.0,560.0,549.0
86,64.0,92.0,426.0,380.0,440.0,525.0,625.0,560.0,553.0
87,64.0,92.0,429.0,380.0,440.0,526.0,625.0,564.0,554.0
88,64.0,92.0,434.0,380.0,442.0,526.0,627.0,566.0,556.0
89,64.0,92.0,435.0,381.0,442.0,528.0,628.0,570.0,557.0
90,64.0,93.0,435.0,381.0,442.0,528.0,629.0,572.0,560.0
91,64.0,93.0,435.0,381.0,442.0,528.0,629.0,573.0,561.0
92,64.0,93.0,436.0,381.0,443.0,528.0,630.0,573.0,562.0
93,64.0,95.0,436.0,381.0,444.0,529.0,631.0,574.0,565.0
94,64.0,95.0,436.0,381.0,444.0,529.0,632.0,574.0,567.0
